Chamber,State,First_Name,Middle_Name,Last_Name,Suffix,Party,Congressional_Year
Senate,Alabama,John,J.,Sparkman,,D,1971
Senate,Alabama,James,,Allen,,D,1971
Senate,Alaska,Ted,,Stevens,,R,1971
Senate,Alaska,Mike,,Gravel,,D,1971
Senate,Arizona,Paul,,Fannin,,R,1971
Senate,Arizona,Barry,,Goldwater,,R,1971
Senate,Arkansas,John,L.,McClellan,,D,1971
Senate,Arkansas,J.,William,Fulbright,,D,1971
Senate,California,John,V.,Tunney,,D,1971
Senate,California,Alan,,Cranston,,D,1971
Senate,Colorado,Gordon,,Allott,,R,1971
Senate,Colorado,Peter,H.,Dominick,,R,1971
Senate,Connecticut,Lowell,,Weicker,,R,1971
Senate,Connecticut,Abraham,,Ribicoff,,D,1971
Senate,Delaware,William,,Roth,,R,1971
Senate,Delaware,J.,Caleb,Boggs,,R,1971
Senate,Florida,Lawton,,Chiles,,D,1971
Senate,Florida,Edward,,Gurney,,R,1971
Senate,Georgia,Richard,,Russell,Jr.,D,1971
Senate,Georgia,David,H.,Gambrell,,D,1971
Senate,Georgia,Sam,,Nunn,,D,1971
Senate,Georgia,Herman,,Talmadge,,D,1971
Senate,Hawaii,Hiram,,Fong,,R,1971
Senate,Hawaii,Daniel,,Inouye,,D,1971
Senate,Idaho,Leonard,B.,Jordan,,R,1971
Senate,Idaho,Frank,,Church,,D,1971
Senate,Illinois,Charles,H.,Percy,,R,1971
Senate,Illinois,Adlai,,Stevenson,III,D,1971
Senate,Indiana,Vance,,Hartke,,D,1971
Senate,Indiana,Birch,,Bayh,,D,1971
Senate,Iowa,Jack,,Miller,,R,1971
Senate,Iowa,Harold,,Hughes,,D,1971
Senate,Kansas,James,B.,Pearson,,R,1971
Senate,Kansas,Bob,,Dole,,R,1971
Senate,Kentucky,John,Sherman,Cooper,,R,1971
Senate,Kentucky,Marlow,,Cook,,R,1971
Senate,Louisiana,Allen,J.,Ellender,,D,1971
Senate,Louisiana,Elaine,,Edwards,,D,1971
Senate,Louisiana,J.,Bennett,Johnston,,D,1971
Senate,Louisiana,Russell,B.,Long,,D,1971
Senate,Maine,Edmund,,Muskie,,D,1971
Senate,Maine,Margaret,Chase,Smith,,R,1971
Senate,Maryland,J.,Glenn,Beall,Jr.,R,1971
Senate,Maryland,Charles,,Mathias,,R,1971
Senate,Massachusetts,Ted,,Kennedy,,D,1971
Senate,Massachusetts,Edward,,Brooke,,R,1971
Senate,Michigan,Philip,,Hart,,D,1971
Senate,Michigan,Robert,P.,Griffin,,R,1971
Senate,Minnesota,Hubert,,Humphrey,,DFL,1971
Senate,Minnesota,Walter,,Mondale,,DFL,1971
Senate,Mississippi,John,C.,Stennis,,D,1971
Senate,Mississippi,James,,Eastland,,D,1971
Senate,Missouri,Stuart,,Symington,,D,1971
Senate,Missouri,Thomas,,Eagleton,,D,1971
Senate,Montana,Mike,,Mansfield,,D,1971
Senate,Montana,Lee,,Metcalf,,D,1971
Senate,Nebraska,Roman,,Hruska,,R,1971
Senate,Nebraska,Carl,,Curtis,,R,1971
Senate,Nevada,Howard,,Cannon,,D,1971
Senate,Nevada,Alan,,Bible,,D,1971
Senate,New Hampshire,Thomas,J.,McIntyre,,D,1971
Senate,New Hampshire,Norris,,Cotton,,R,1971
Senate,New Jersey,Harrison,A.,Williams,,D,1971
Senate,New Jersey,Clifford,P.,Case,,R,1971
Senate,New Mexico,Joseph,,Montoya,,D,1971
Senate,New Mexico,Clinton,P.,Anderson,,D,1971
Senate,New York,James,L.,Buckley,,C,1971
Senate,New York,Jacob,,Javits,,R,1971
Senate,North Carolina,B.,Everett,Jordan,,D,1971
Senate,North Carolina,Sam,,Ervin,,D,1971
Senate,North Dakota,Quentin,,Burdick,,D-NPL,1971
Senate,North Dakota,Milton,,Young,,R,1971
Senate,Ohio,William,B.,Saxbe,,R,1971
Senate,Ohio,Robert,,Taft,Jr.,R,1971
Senate,Oklahoma,Fred,R.,Harris,,D,1971
Senate,Oklahoma,Henry,,Bellmon,,R,1971
Senate,Oregon,Mark,,Hatfield,,R,1971
Senate,Oregon,Bob,,Packwood,,R,1971
Senate,Pennsylvania,Hugh,,Scott,,R,1971
Senate,Pennsylvania,Richard,,Schweiker,,R,1971
Senate,Rhode Island,John,,Pastore,,D,1971
Senate,Rhode Island,Claiborne,,Pell,,D,1971
Senate,South Carolina,Strom,,Thurmond,,R,1971
Senate,South Carolina,Fritz,,Hollings,,D,1971
Senate,South Dakota,Karl,E.,Mundt,,R,1971
Senate,South Dakota,George,,McGovern,,D,1971
Senate,Tennessee,Bill,,Brock,,R,1971
Senate,Tennessee,Howard,,Baker,,R,1971
Senate,Texas,Lloyd,,Bentsen,,D,1971
Senate,Texas,John,,Tower,,R,1971
Senate,Utah,Frank,,Moss,,D,1971
Senate,Utah,Wallace,F.,Bennett,,R,1971
Senate,Vermont,Winston,L.,Prouty,,R,1971
Senate,Vermont,Robert,,Stafford,,R,1971
Senate,Vermont,George,,Aiken,,R,1971
Senate,Virginia,Harry,F.,Byrd,Jr.,I,1971
Senate,Virginia,William,B.,Spong,Jr.,D,1971
Senate,Washington,Henry,M.,Jackson,,D,1971
Senate,Washington,Warren,,Magnuson,,D,1971
Senate,West Virginia,Robert,,Byrd,,D,1971
Senate,West Virginia,Jennings,,Randolph,,D,1971
Senate,Wisconsin,William,,Proxmire,,D,1971
Senate,Wisconsin,Gaylord,,Nelson,,D,1971
Senate,Wyoming,Gale,W.,McGee,,D,1971
Senate,Wyoming,Clifford,,Hansen,,R,1971
House,Alabama,Jack,,Edwards,,R,1971
House,Alabama,William,Louis,Dickinson,,R,1971
House,Alabama,George,W.,Andrews,,D,1971
