Chamber,State,First_Name,Middle_Name,Last_Name,Suffix,Party,Congressional_Year
Senate,Alabama,John,J.,Sparkman,,D,1973
Senate,Alabama,James,,Allen,,D,1973
Senate,Alaska,Ted,,Stevens,,R,1973
Senate,Alaska,Mike,,Gravel,,D,1973
Senate,Arizona,Paul,,Fannin,,R,1973
Senate,Arizona,Barry,,Goldwater,,R,1973
Senate,Arkansas,John,L.,McClellan,,D,1973
Senate,Arkansas,J.,William,Fulbright,,D,1973
Senate,California,John,V.,Tunney,,D,1973
Senate,California,Alan,,Cranston,,D,1973
Senate,Colorado,Floyd,,Haskell,,D,1973
Senate,Colorado,Peter,H.,Dominick,,R,1973
Senate,Connecticut,Lowell,,Weicker,,R,1973
Senate,Connecticut,Abraham,,Ribicoff,,D,1973
Senate,Delaware,William,,Roth,,R,1973
Senate,Delaware,Joe,,Biden,,D,1973
Senate,Florida,Lawton,,Chiles,,D,1973
Senate,Florida,Edward,,Gurney,,R,1973
Senate,Florida,Richard,,Stone,,D,1973
Senate,Georgia,Sam,,Nunn,,D,1973
Senate,Georgia,Herman,,Talmadge,,D,1973
Senate,Hawaii,Hiram,,Fong,,R,1973
Senate,Hawaii,Daniel,,Inouye,,D,1973
Senate,Idaho,James,A.,McClure,,R,1973
Senate,Idaho,Frank,,Church,,D,1973
Senate,Illinois,Charles,H.,Percy,,R,1973
Senate,Illinois,Adlai,,Stevenson,III,D,1973
Senate,Indiana,Vance,,Hartke,,D,1973
Senate,Indiana,Birch,,Bayh,,D,1973
Senate,Iowa,Dick,,Clark,,D,1973
Senate,Iowa,Harold,,Hughes,,D,1973
Senate,Kansas,James,B.,Pearson,,R,1973
Senate,Kansas,Bob,,Dole,,R,1973
Senate,Kentucky,Walter,"""Dee""",Huddleston,,D,1973
Senate,Kentucky,Marlow,,Cook,,R,1973
Senate,Kentucky,Wendell,,Ford,,D,1973
Senate,Louisiana,J.,Bennett,Johnston,,D,1973
Senate,Louisiana,Russell,B.,Long,,D,1973
Senate,Maine,Edmund,,Muskie,,D,1973
Senate,Maine,William,,Hathaway,,D,1973
Senate,Maryland,J.,Glenn,Beall,Jr.,R,1973
Senate,Maryland,Charles,,Mathias,,R,1973
Senate,Massachusetts,Ted,,Kennedy,,D,1973
Senate,Massachusetts,Edward,,Brooke,,R,1973
Senate,Michigan,Philip,,Hart,,D,1973
Senate,Michigan,Robert,P.,Griffin,,R,1973
Senate,Minnesota,Hubert,,Humphrey,,DFL,1973
Senate,Minnesota,Walter,,Mondale,,DFL,1973
Senate,Mississippi,John,C.,Stennis,,D,1973
Senate,Mississippi,James,,Eastland,,D,1973
Senate,Missouri,Stuart,,Symington,,D,1973
Senate,Missouri,Thomas,,Eagleton,,D,1973
Senate,Montana,Mike,,Mansfield,,D,1973
Senate,Montana,Lee,,Metcalf,,D,1973
Senate,Nebraska,Roman,,Hruska,,R,1973
Senate,Nebraska,Carl,,Curtis,,R,1973
Senate,Nevada,Howard,,Cannon,,D,1973
Senate,Nevada,Alan,,Bible,,D,1973
Senate,Nevada,Paul,,Laxalt,,R,1973
Senate,New Hampshire,Thomas,J.,McIntyre,,D,1973
Senate,New Hampshire,Norris,,Cotton,,R,1973
Senate,New Hampshire,Louis,C.,Wyman,,R,1973
Senate,New Jersey,Harrison,A.,Williams,,D,1973
Senate,New Jersey,Clifford,P.,Case,,R,1973
Senate,New Mexico,Joseph,,Montoya,,D,1973
Senate,New Mexico,Pete,,Domenici,,R,1973
Senate,New York,James,L.,Buckley,,C,1973
Senate,New York,Jacob,,Javits,,R,1973
Senate,North Carolina,Jesse,,Helms,,R,1973
Senate,North Carolina,Sam,,Ervin,,D,1973
Senate,North Dakota,Quentin,,Burdick,,D-NPL,1973
Senate,North Dakota,Milton,,Young,,R,1973
Senate,Ohio,Robert,,Taft,Jr.,R,1973
Senate,Ohio,William,B.,Saxbe,,R,1973
